Year,Region,Country,Brand,EV_Sales,Charging_Stations,Market_Share
2019,South America,Brazil,Nissan,70598,6770,21.54
2024,Asia,India,Volkswagen,5152,649,2.53
2018,Europe,France,Tesla,87351,14726,7.94
2023,North America,Mexico,BYD,75538,13924,22.34
2020,South America,Chile,Hyundai,70749,12666,6.68
2016,Europe,Sweden,Tesla,5913,1316,24.9
2015,Africa,Egypt,Nissan,22484,2107,7.16
2019,Oceania,Australia,BMW,20987,3722,18.74
2023,Africa,South Africa,Hyundai,2575,180,11.01
2020,Oceania,Australia,Kia,34050,5433,4.27
2024,South America,Chile,BYD,86226,14381,7.12
2021,Africa,Egypt,Rivian,98299,9166,17.2
2019,Oceania,New Zealand,Kia,42793,5491,9.09
2024,Asia,Japan,Tesla,77945,16792,15.5
2020,South America,Brazil,Rivian,29712,2367,5.93
2019,Oceania,New Zealand,BYD,15462,2116,11.77
2025,North America,USA,BYD,16353,3868,13.29
2023,Oceania,New Zealand,Hyundai,50709,7648,10.91
2020,Africa,Egypt,Hyundai,80411,15682,5.75
2025,Asia,Japan,Hyundai,46464,10007,12.08
2022,Europe,Norway,Hyundai,68145,6184,17.63
2016,Europe,Sweden,BMW,61001,5712,24.16
2023,Oceania,New Zealand,Rivian,67356,13586,19.95
2019,Europe,France,Rivian,82023,16458,4.88
2021,Oceania,Australia,Nissan,37685,2337,7.54
2024,Asia,China,Hyundai,69735,7984,2.89
2015,Europe,Sweden,Tesla,50384,6535,4.26
2024,Africa,South Africa,Rivian,63358,13673,7.02
2019,Africa,South Africa,BYD,94245,12663,5.79
2024,North America,USA,Kia,64826,15246,6.13
2016,Oceania,New Zealand,Hyundai,39830,9930,6.54
2020,Europe,UK,Tesla,46915,9671,8.22
2025,Africa,Egypt,BMW,61506,11272,4.01
2015,Asia,India,Tesla,49627,6371,7.67
2017,Asia,China,Kia,23047,1461,17.52
2019,North America,Mexico,Kia,23439,3858,6.67
2018,Asia,Japan,Tesla,80238,9816,5.12
2017,Asia,Japan,BMW,95256,11447,2.62
2024,Europe,Sweden,Rivian,87798,16465,13
2019,Oceania,New Zealand,Kia,74832,10680,21.21
2025,South America,Chile,BMW,2222,445,2.42
2022,Asia,Japan,BYD,43864,5686,14.02
2025,Asia,China,Hyundai,12174,976,16.61
2018,South America,Chile,Kia,3312,471,15.22
2015,Asia,India,Tesla,2778,667,22.06
2025,Europe,Norway,Rivian,35618,7490,21.79
2021,Europe,Sweden,Nissan,69659,6349,2.38
2022,South America,Chile,Nissan,7030,901,9.66
2017,Africa,South Africa,Volkswagen,50366,11864,17.1
2020,Asia,India,BYD,82023,6130,23.86
2016,Africa,South Africa,Nissan,1424,143,20.31
2021,Asia,Japan,BYD,20046,2053,5.24
2022,Oceania,New Zealand,Rivian,53805,8834,7.7
2020,Asia,India,Hyundai,78306,10347,19.33
2020,Europe,Germany,Volkswagen,19453,1283,12.32
2019,North America,Canada,BYD,36083,6344,14.14
2022,North America,USA,BMW,89392,6240,15.62
2015,North America,Canada,BMW,70614,12094,3.48
2024,North America,Mexico,Volkswagen,4962,751,21.54
2018,Africa,South Africa,Rivian,1388,206,21.72
2018,Africa,South Africa,Rivian,88368,5611,12.24
2017,Asia,South Korea,BMW,85898,15276,16.04
2017,Africa,Egypt,Kia,86009,11719,16.84
2018,Asia,China,BMW,67759,8959,5.55
2025,Oceania,New Zealand,BMW,23910,4047,3.7
2015,Asia,Japan,Rivian,9102,1558,1.5
2025,North America,Mexico,BMW,19114,1013,22.91
2025,South America,Brazil,BMW,18944,1421,9.3
2016,South America,Brazil,Kia,53550,5210,3.06
2023,Europe,Germany,BMW,68649,12740,12.18
2024,Europe,UK,BMW,89118,14735,2.82
2016,Asia,India,Hyundai,82016,16528,3.05
2019,South America,Brazil,Rivian,45366,8987,12.73
2023,North America,Canada,Rivian,66713,14719,13.21
2023,Africa,South Africa,Kia,77138,9670,14.92
2022,North America,Canada,BMW,57739,6871,16.75
2015,North America,USA,BYD,43711,9450,17.04
2015,Asia,India,Volkswagen,3504,341,11.39
2023,Asia,Japan,Rivian,64289,9144,16.44
2025,Oceania,Australia,Hyundai,75022,6666,8.31
2022,North America,USA,Kia,64584,15033,11.59
2024,North America,Mexico,Nissan,99532,13094,10.44
2023,Asia,China,Tesla,26769,2476,8.9
2021,Asia,China,Kia,80209,15111,6.73
2017,Oceania,New Zealand,Volkswagen,21618,2138,2.88
2017,Oceania,Australia,Hyundai,98994,23629,13.14
2016,Europe,Norway,BMW,14589,1802,13.89
2019,South America,Brazil,Hyundai,43456,7949,9.07
2017,North America,Canada,Tesla,86286,10272,24.42
2020,North America,Mexico,Tesla,92101,19474,14.37
2016,Oceania,Australia,Kia,79726,18287,22.34
2017,Oceania,New Zealand,BMW,14240,2955,14.68
2019,Europe,Sweden,BMW,70081,15396,5.56
2025,South America,Brazil,BYD,71660,5043,24.39
2025,Europe,Germany,Tesla,86578,20329,22.25
2015,South America,Brazil,BMW,44279,7742,12.31
2015,Africa,Egypt,Tesla,20995,4699,6.83
2024,North America,Mexico,Rivian,40102,7494,6.34
2023,Europe,France,BYD,9533,861,20.34
2021,Oceania,Australia,Nissan,53603,9214,2.66
2015,Europe,Germany,Tesla,87640,5976,16.31
2022,Africa,South Africa,Rivian,20942,3961,16.36
2017,Europe,UK,Rivian,3747,493,5.38
2022,North America,USA,Rivian,50868,4087,17.92
2019,Africa,South Africa,BYD,55744,13704,17.93
2015,Oceania,New Zealand,BYD,25974,5979,9.4
2021,Oceania,New Zealand,Volkswagen,65284,14931,12.6
2019,Asia,India,BYD,6086,1264,20.99
2020,Africa,Egypt,Hyundai,56728,10687,13.56
2020,Asia,China,Kia,8440,1527,15.84
2022,Asia,China,BMW,19106,1360,10.91
2023,North America,Canada,Tesla,41247,9491,4.59
2016,Europe,Sweden,Kia,65227,14756,24.95
2023,Oceania,New Zealand,Hyundai,34782,6941,13.76
2025,Oceania,Australia,Tesla,58260,13718,9.07
2024,Europe,Norway,Kia,63496,10198,18.13
2023,Oceania,New Zealand,Hyundai,3383,472,15.9
2024,Europe,UK,Rivian,37094,9035,6.59
2024,Africa,South Africa,BMW,96531,13787,22.05
2021,North America,Mexico,BYD,78603,14012,2.7
2015,North America,Canada,Kia,70375,8769,15.54
2021,North America,USA,Rivian,99478,17633,12.47
2024,Europe,Norway,Kia,88709,17211,8.64
2019,Europe,Norway,Rivian,15926,2785,20.83
2020,South America,Chile,Tesla,16986,2597,16.75
2024,Oceania,New Zealand,BYD,76585,8426,19.23
2021,Oceania,New Zealand,Volkswagen,4493,803,10.95
2019,South America,Brazil,BMW,12719,2946,23.62
2021,South America,Chile,Rivian,4208,216,9.27
2023,North America,USA,Tesla,29288,2248,13.75
2017,South America,Chile,Nissan,1995,147,23.41
2022,Europe,Norway,Nissan,95470,22401,3
2016,Asia,South Korea,Nissan,36660,6692,3.61
2025,Europe,Sweden,BMW,8037,1931,24.86
2021,South America,Chile,Rivian,36053,6005,24.31
2016,Oceania,Australia,Nissan,22703,3231,19.52
2018,Europe,Norway,Kia,54532,11368,12.62
2021,Oceania,New Zealand,Volkswagen,71624,5886,13.15
2017,Europe,Norway,Tesla,94344,11912,7.17
2016,Oceania,New Zealand,Volkswagen,81247,11639,11.39
2025,Africa,Egypt,Volkswagen,38159,4185,11.35
2024,Europe,France,Volkswagen,64543,8019,1.87
2021,Oceania,New Zealand,Kia,4025,264,11.88
2015,Asia,South Korea,Nissan,85937,7699,12.52
2022,North America,USA,Volkswagen,5277,617,16.98
2017,Europe,Sweden,Rivian,70225,14689,13.39
2016,Asia,China,Volkswagen,46291,4004,21.68
2017,North America,USA,Tesla,89353,10662,9.82
2019,Europe,France,Rivian,32001,2015,10.83
2025,Asia,India,Kia,65758,10614,14.72
2022,Asia,China,BMW,84333,14526,5.87
2024,Africa,South Africa,BYD,76685,17108,10.44
2021,Asia,Japan,Kia,24219,5178,17.47
2021,Africa,South Africa,Hyundai,67186,7193,10.88
2021,South America,Chile,Nissan,80337,6217,22.76
2022,Oceania,Australia,Hyundai,28934,2349,15.77
2015,North America,Canada,Rivian,21020,5124,4.69
2018,Oceania,New Zealand,BYD,57381,10595,12.7
2020,Oceania,Australia,BMW,2010,117,19.35
2023,Africa,South Africa,Kia,29046,2246,16.44
2016,Oceania,New Zealand,BMW,14482,2131,22.25
2015,Asia,Japan,BYD,69951,6405,19
2024,Africa,South Africa,Hyundai,80770,17020,2.48
2016,Oceania,New Zealand,Kia,88745,14611,3.7
2021,Africa,Egypt,Nissan,20136,3473,16.59
2017,South America,Brazil,Tesla,98720,14074,6.72
2024,Africa,Egypt,Volkswagen,58587,5929,15.11
2016,Europe,Germany,BMW,11457,1923,20.01
2025,Asia,South Korea,Rivian,37206,7195,14.85
2021,North America,Mexico,BYD,99877,12403,10.97
2016,Europe,Sweden,Kia,63371,9568,16.51
2017,Europe,France,Rivian,62237,13563,4.45
2025,Europe,Germany,Hyundai,41475,3307,18.36
2021,Oceania,New Zealand,Nissan,97864,15564,17.73
2018,Africa,South Africa,Rivian,28629,3426,13.35
2015,Africa,South Africa,Hyundai,38439,7324,7.69
2019,Oceania,New Zealand,Nissan,65559,3524,20.14
2023,Asia,China,Kia,8798,1619,13.25
2022,Oceania,Australia,Tesla,64922,4582,2.42
2023,Oceania,Australia,Tesla,6980,439,23.05
2024,Oceania,Australia,Rivian,93580,18241,19.43
2023,Asia,Japan,Volkswagen,60889,10842,15.04
2021,Asia,South Korea,Rivian,68893,15775,11.48
2018,South America,Brazil,BYD,4849,746,24.04
2019,South America,Brazil,BYD,67464,10524,19.6
2015,South America,Brazil,Nissan,39991,7654,13.84
2015,South America,Chile,Nissan,47278,5421,16.68
2017,Africa,Egypt,Nissan,89199,5118,7.74
2022,Europe,Sweden,Rivian,28177,2705,5.7
2016,Europe,Germany,Nissan,96940,9461,7.56
2018,South America,Chile,Volkswagen,81754,9575,8.04
2016,South America,Chile,Rivian,80845,19297,18.75
2019,North America,Mexico,Kia,13772,2905,4.36
2023,Europe,Sweden,Kia,12328,2924,19.66
2015,North America,USA,Tesla,44931,11220,13.56
2019,North America,USA,BYD,8356,1142,10.23
2023,Oceania,New Zealand,Volkswagen,11723,1118,8.21
2015,Africa,South Africa,BYD,39913,6465,13.32
2023,Asia,China,BMW,57322,12967,8.62
2022,Europe,Norway,BYD,36189,5180,11.31
2018,South America,Brazil,BYD,74202,11210,18.74
2025,South America,Brazil,Hyundai,56896,4374,16.02
2024,Asia,Japan,Hyundai,13137,1761,18.95
2019,Europe,Sweden,Volkswagen,47034,5992,18.11
2019,South America,Chile,BMW,66914,8052,20.56
2025,South America,Brazil,Nissan,76740,17455,5.84
2020,Oceania,Australia,BMW,74538,4610,24.88
2021,North America,Canada,BMW,15766,3853,12.42
2022,South America,Chile,Tesla,48568,2508,18.24
2022,Africa,South Africa,Kia,44856,10725,17.27
2025,Europe,Norway,BYD,86795,13853,14.59
2016,Africa,Egypt,Tesla,15546,2961,24.9
2023,Asia,India,Volkswagen,25770,2252,6.22
2021,Oceania,Australia,Kia,76842,13896,11.12
2018,Europe,UK,Volkswagen,38488,8713,4.07
2018,Oceania,Australia,BYD,52679,4103,5.36
2025,North America,Mexico,Volkswagen,36392,2744,18.11
2022,South America,Chile,BMW,30012,3325,1.12
2018,Europe,Germany,Rivian,59665,4913,22.36
2020,Asia,China,BYD,5599,403,16.2
2019,North America,Canada,Nissan,53987,10023,11.58
2017,North America,USA,Nissan,96347,8937,8.95
2024,Oceania,New Zealand,BMW,74588,13679,4.03
2025,North America,Mexico,Volkswagen,77663,17271,23.12
2016,Europe,Germany,Hyundai,91345,16479,18.1
2023,Oceania,New Zealand,Nissan,50503,3730,9.07
2024,North America,Mexico,BMW,67386,11099,2.7
2023,Asia,China,Tesla,78312,10080,8.82
2015,Africa,Egypt,Hyundai,12239,1452,5.43
2024,Europe,Norway,Nissan,87338,9930,19.87
2017,Asia,Japan,Rivian,12884,3039,18.27
2022,Asia,India,BMW,33594,6668,12.96
2020,Oceania,New Zealand,BMW,2620,201,22.26
2019,South America,Chile,Tesla,1493,216,5.34
2019,Oceania,New Zealand,Rivian,87795,9977,11.85
2020,Europe,Germany,Tesla,18650,4580,18.05
2021,Europe,Germany,Hyundai,65181,16008,2.63
2015,Oceania,Australia,Kia,45888,5226,9.94
2023,South America,Brazil,Nissan,91792,11053,14.72
2017,Oceania,New Zealand,BMW,51616,8768,9.8
2018,Europe,Norway,Hyundai,56253,8205,12.52
2024,South America,Brazil,Volkswagen,40287,3731,15.59
2015,Europe,France,Hyundai,36173,6586,9.84
2025,South America,Brazil,Volkswagen,8790,1026,3.54
2024,South America,Chile,Tesla,60623,10957,4.35
2017,Oceania,New Zealand,BMW,17127,2170,13.65
2016,Oceania,Australia,BYD,73974,14058,5.19
2016,Oceania,New Zealand,Kia,59344,10893,22.36
2015,South America,Chile,Kia,63404,9622,21.02
2022,South America,Brazil,Tesla,65205,12450,9.38
2017,Europe,Norway,Volkswagen,68745,9775,20.94
2017,Asia,Japan,BMW,28129,2059,13.8
2020,Oceania,New Zealand,Rivian,44686,3861,4.82
2022,Africa,South Africa,Hyundai,90121,8939,15.74
2023,Europe,Sweden,Kia,47037,2946,17.31
2023,Europe,Norway,Hyundai,31332,6024,3.01
2018,North America,USA,Nissan,23972,2960,8.55
2019,Oceania,New Zealand,BYD,49350,3390,1.13
2016,Europe,UK,Tesla,86798,18574,8.59
2025,North America,Canada,Volkswagen,10007,1868,9.05
2023,Africa,Egypt,Kia,75614,10619,16.13
2022,Africa,Egypt,Rivian,56196,5590,5.78
2017,Oceania,New Zealand,Nissan,72747,5845,1.72
2025,South America,Chile,Rivian,56873,8057,8.58
2023,North America,Canada,Nissan,61764,14023,20.81
2017,South America,Brazil,BYD,16479,1444,10.58
2023,Africa,South Africa,Tesla,15549,2545,10.96
2016,Africa,Egypt,Tesla,59581,14438,12.26
2024,Asia,India,Hyundai,25497,4523,19.04
2023,Asia,South Korea,Tesla,56644,7816,12.52
2022,Asia,South Korea,Nissan,41330,7988,3.19
2023,Asia,South Korea,Hyundai,81869,17594,5.95
2019,Europe,Sweden,Tesla,86221,14494,5.51
2025,Asia,India,Volkswagen,22246,4991,13.19
2025,Europe,Norway,Volkswagen,87893,13440,1.72
2016,Europe,Germany,BYD,10103,2182,7.81
2022,Oceania,Australia,Nissan,77477,18625,15.57
2020,Europe,France,BMW,5070,761,9.51
2022,Europe,France,BYD,32816,5611,17.99
2025,Asia,South Korea,BYD,52104,8956,10.39
2019,Europe,Germany,Tesla,18967,3912,24.5
2024,South America,Chile,Hyundai,78881,16927,24.17
2016,Asia,India,Rivian,45138,2502,20.2
2020,North America,Canada,Hyundai,27443,5397,23.91
2019,Asia,China,Volkswagen,70869,14653,5.91
2019,Europe,Norway,Nissan,3840,729,19.02
2015,South America,Chile,Tesla,44032,8486,8.72
2016,Asia,South Korea,Hyundai,78348,4566,18.41
2022,South America,Chile,Volkswagen,66675,9228,9.97
2017,North America,Mexico,Kia,59418,12693,7.95
2024,Africa,South Africa,Rivian,44688,10582,24.01
2017,North America,Mexico,BMW,15711,1506,6.04
2022,Africa,Egypt,Kia,13996,2321,19.21
2022,Oceania,Australia,Rivian,94881,20007,17.19
2016,Africa,South Africa,Tesla,57748,11577,8.28
2022,Oceania,New Zealand,Tesla,96125,16704,12
2025,Asia,South Korea,Hyundai,41645,2237,4.43
2015,Oceania,Australia,Rivian,30172,5876,23.11
2020,South America,Brazil,BYD,81981,16777,24.23
2022,Oceania,Australia,Tesla,83738,16292,18.58
2017,South America,Brazil,BYD,74755,15187,21.39
2022,Africa,Egypt,Nissan,36527,4974,2.98
2015,Africa,Egypt,Volkswagen,36751,9141,10.22
2025,Africa,South Africa,Nissan,19903,4063,8.94
2025,Oceania,Australia,Rivian,92845,15387,14.56
2023,Africa,South Africa,Rivian,25650,6074,5.4
2025,Oceania,New Zealand,Hyundai,76262,17665,14.52
2023,Oceania,New Zealand,Nissan,47440,10100,16.7
2019,Europe,Sweden,Kia,50976,8295,4.18
2024,Europe,Norway,Rivian,34702,5393,4.16
2018,Oceania,Australia,Kia,9229,1068,1.85
2025,South America,Brazil,Kia,24438,2448,19.26
2020,Asia,India,Hyundai,75802,11557,8.94
2021,North America,Canada,Hyundai,74420,12320,6.41
2019,Europe,Norway,Kia,26262,2597,19.67
2025,Oceania,New Zealand,BYD,29224,6853,4.44
2024,North America,Mexico,Kia,91086,14706,11.25
2023,Europe,Sweden,BYD,21153,3285,18.87
2017,Asia,China,Nissan,14007,1920,14.77
2021,South America,Chile,BYD,73414,4523,14.3
2024,Oceania,New Zealand,Rivian,43273,9800,4.78
2024,Asia,India,Tesla,35705,4048,5.34
2025,Europe,France,BMW,12071,2154,14.98
2019,Oceania,New Zealand,Tesla,37820,6485,1.57
2021,North America,USA,Tesla,49353,8236,21.86
2016,Africa,South Africa,Hyundai,30690,4761,9.41
2018,South America,Chile,BMW,89616,7732,11
2016,Europe,France,Hyundai,37022,3928,7.2
2021,South America,Chile,BYD,72301,11194,22.04
2016,Oceania,New Zealand,Kia,44989,9351,16.42
2025,Africa,South Africa,Volkswagen,72777,9926,11.8
2015,Asia,China,Volkswagen,2337,212,15.05
2023,South America,Brazil,Volkswagen,54263,3667,10.13
2015,North America,Mexico,BYD,83445,15237,12.17
2022,Europe,Germany,BMW,57464,7738,9.58
2016,North America,Mexico,Nissan,56898,4271,10.86
2022,South America,Chile,BYD,83078,15360,8.56
2017,Africa,Egypt,Tesla,83097,7604,2.86
2020,Asia,South Korea,BMW,95022,14424,1.9
2017,Asia,South Korea,BMW,53698,5973,5.18
2021,North America,USA,BYD,86241,20382,7.04
2024,Oceania,Australia,BYD,35643,3409,22.37
2023,Oceania,Australia,Hyundai,49927,6689,15.67
2016,Africa,Egypt,Hyundai,7359,1780,24
2019,Asia,China,Tesla,46007,5233,9.15
2020,North America,Canada,Rivian,34856,6236,10.64
2018,North America,Mexico,BMW,87001,9861,18.27
2018,North America,USA,Volkswagen,63070,4549,14.87
2018,South America,Chile,Nissan,13354,2343,13.67
2016,Africa,Egypt,Nissan,33513,7815,14.81
2018,Oceania,New Zealand,BMW,32154,4518,15.02
2025,Oceania,Australia,Tesla,23554,4127,19.38
2015,South America,Chile,Volkswagen,74228,12750,17.03
2020,Europe,Sweden,Hyundai,60754,8081,23.98
2015,South America,Brazil,Hyundai,68220,11800,23.75
2024,Africa,Egypt,Hyundai,45706,4655,11.13
2020,North America,USA,Nissan,36519,4587,1.86
2015,South America,Chile,Nissan,16781,2323,1.27
2020,North America,Mexico,Tesla,6363,1417,3.96
2024,Africa,South Africa,Nissan,52703,6306,2.8
2022,Africa,South Africa,BYD,75738,13407,9.96
2025,Asia,Japan,Nissan,37039,3432,2.27
2016,North America,Canada,Hyundai,79572,7998,16
2016,Oceania,New Zealand,Tesla,42588,7652,5.56
2018,South America,Chile,BMW,62938,12742,13.34
2025,Africa,Egypt,BMW,16577,2360,3.47
2017,North America,Canada,Tesla,25773,3015,20.87
2018,Europe,Norway,BYD,31552,7321,19.72
2021,Asia,South Korea,BMW,68455,5282,10.28
2025,Europe,UK,Hyundai,14018,2721,22.85
2015,Africa,Egypt,BMW,7896,1484,5.46
2020,Europe,Germany,BMW,85048,15993,20.53
2017,Europe,Sweden,Hyundai,40577,9620,14.1
2025,Asia,China,Nissan,12481,2441,8.91
2024,Asia,India,BYD,99489,10974,3.02
2021,Asia,Japan,Volkswagen,68792,8301,5.11
2024,Asia,Japan,Hyundai,65342,8378,21.71
2016,Europe,Sweden,Hyundai,5523,310,15.57
2016,Oceania,Australia,Kia,92454,21514,6.69
2018,Oceania,Australia,Tesla,21719,1405,12.9
2015,Asia,India,Rivian,84392,16031,3.59
2017,South America,Brazil,BYD,17594,3448,3.37
2023,North America,USA,Nissan,38353,8389,22.79
2021,Africa,South Africa,Kia,6146,987,11.99
2021,South America,Brazil,Volkswagen,54545,10639,9.68
2025,Africa,South Africa,Hyundai,47425,5242,23.78
2018,South America,Brazil,Volkswagen,44427,8846,10.58
2016,South America,Chile,Volkswagen,12491,1482,9.07
2018,Oceania,New Zealand,Volkswagen,19478,4490,7.55
2020,North America,Canada,Kia,83512,6904,14.56
2025,South America,Chile,Rivian,36223,4098,14.4
2025,Asia,South Korea,Nissan,25287,3786,1.39
2017,Africa,Egypt,Kia,92193,18915,16.7
2015,Oceania,New Zealand,Kia,49592,9906,19.92
2022,Africa,South Africa,Rivian,45291,4173,15.78
2019,Asia,South Korea,Kia,75671,5966,21.88
2019,Asia,China,Hyundai,15432,1709,7.63
2025,South America,Brazil,Hyundai,37411,5490,5.61
2018,Asia,India,Tesla,10446,1648,17.73
2020,North America,USA,BMW,85399,11599,5.53
2017,Asia,Japan,BYD,14887,2718,3.19
2023,South America,Chile,Tesla,69641,9437,3.32
2019,Africa,South Africa,Nissan,50073,11980,19.44
2017,Asia,India,Kia,41905,4282,1.69
2025,Oceania,Australia,Hyundai,9652,1693,7.95
2015,Oceania,New Zealand,Kia,98934,17043,4.1
2024,Oceania,Australia,Hyundai,35915,3818,19.12
2020,Africa,Egypt,Volkswagen,96379,12754,13.08
2016,Europe,UK,BYD,32348,3981,5.93
2017,Oceania,New Zealand,Tesla,43894,3709,19.01
2015,Oceania,Australia,Tesla,69765,10147,19.01
2023,Europe,Norway,Nissan,31955,4068,13.55
2022,Africa,South Africa,Volkswagen,95848,8210,7.62
2016,Oceania,New Zealand,Tesla,67060,9386,15.07
2025,South America,Brazil,Tesla,92264,12397,23.4
2022,Africa,South Africa,BMW,17421,1328,2.24
2023,Oceania,New Zealand,Rivian,32679,2491,7.41
2015,Oceania,Australia,BYD,52735,9466,7.84
2019,Europe,Germany,Kia,32537,6224,16.16
2022,South America,Brazil,Rivian,33775,8046,16.63
2025,Africa,South Africa,Tesla,37192,2506,5.95
2016,Asia,Japan,Nissan,9372,689,6.19
2018,North America,Mexico,Kia,52264,3154,23.28
2021,South America,Brazil,Hyundai,91371,14294,19.15
2017,Asia,India,Volkswagen,86643,15123,23.42
2019,South America,Brazil,Volkswagen,52799,6901,20.91
2022,Asia,India,Tesla,35461,7431,10.65
2024,Asia,China,Tesla,24966,4677,3.93
2017,South America,Brazil,Kia,16262,4019,16.11
2018,Europe,UK,Rivian,19430,1507,9.45
2023,South America,Chile,Hyundai,54713,3373,11.21
2021,South America,Chile,BMW,70691,7419,11.22
2015,Asia,India,BYD,50874,2737,23.48
2018,North America,Canada,BMW,57402,13576,2.65
2018,Asia,India,Rivian,71055,7872,5.63
2023,Oceania,New Zealand,Nissan,55375,8886,15.59
2020,South America,Brazil,Kia,39814,4523,22.21
2023,Africa,Egypt,Tesla,52675,5223,23.03
2020,South America,Chile,BMW,85700,6896,14.41
2020,Europe,Sweden,BYD,49478,5644,1.83
2019,Africa,Egypt,Nissan,58915,10197,9.71
2019,Asia,China,Volkswagen,82960,20269,23.05
2016,Europe,Norway,Rivian,46755,7556,13
2022,South America,Chile,BMW,50162,7852,18.44
2022,Asia,India,Tesla,88582,5053,7.46
2025,Asia,Japan,BYD,80866,17630,1.6
2015,Oceania,Australia,Tesla,78678,4639,14.88
2022,Oceania,New Zealand,Tesla,89122,20609,21.04
2019,North America,Mexico,Nissan,49996,7886,24.77
2016,Oceania,Australia,BYD,48291,4041,21.32
2016,Africa,South Africa,Hyundai,96498,13542,14.3
2020,Asia,India,Volkswagen,57735,14375,15.61
2025,Oceania,Australia,Rivian,39640,4400,20.78
2023,North America,USA,Tesla,32576,3384,1.48
2015,South America,Brazil,Rivian,45282,3332,23.84
2020,Africa,South Africa,BYD,52132,8832,13.75
2023,Oceania,Australia,Tesla,22703,1540,23.85
2022,Asia,Japan,BMW,93892,19079,19.35
2025,South America,Brazil,BMW,46142,10790,4.66
2020,Asia,South Korea,BYD,9986,2360,4.97
2017,South America,Brazil,Volkswagen,61095,4373,9.49
2022,Africa,Egypt,Nissan,32658,5279,7.34
2023,Asia,South Korea,Hyundai,15181,1053,11.54
2015,Oceania,Australia,BMW,55290,9089,15.49
2023,Oceania,New Zealand,Nissan,55552,11832,11.48
2020,North America,USA,Hyundai,77737,12248,2.35
2020,South America,Chile,BMW,15872,3561,24.42
2018,North America,Mexico,Hyundai,27111,5702,11.2
2015,Europe,Germany,Kia,6023,634,21.43
2024,Oceania,Australia,Tesla,46293,8148,2.77
2022,South America,Brazil,BYD,20733,1067,20.44
2016,Africa,South Africa,BMW,25455,3288,5.16
2015,North America,USA,BMW,69799,6811,17.31
2016,Africa,South Africa,Rivian,48024,11402,16.88
2015,Africa,Egypt,Tesla,43121,5652,22.84
2015,Africa,South Africa,BMW,85478,15455,8.7
2023,North America,USA,BMW,91918,18052,3.62
2015,Europe,Germany,Kia,68501,14018,21.75
2018,North America,Canada,BMW,70487,13896,8.96
2024,Asia,India,BMW,82097,8852,6.58
2020,Oceania,New Zealand,BMW,515,96,12.67
2021,North America,Canada,Nissan,4910,784,4.51
2016,North America,USA,BMW,19464,3298,8.13
2020,Europe,France,Tesla,71171,3570,10.25
2021,Asia,India,Kia,73984,7520,7.65
2024,North America,Canada,BMW,70825,16724,11.81
2024,Oceania,Australia,Hyundai,9102,983,10.23
2016,Oceania,Australia,Kia,7732,1063,19.59
2016,North America,USA,Kia,57745,5043,23.04
2024,Africa,South Africa,Hyundai,48450,3765,3.42
2021,Africa,South Africa,Tesla,70871,6501,20.76
2015,Asia,Japan,Nissan,92102,14803,23.36
2022,Oceania,Australia,Volkswagen,28881,6752,17.48
2025,Africa,South Africa,Rivian,76805,8850,24.91
2017,Oceania,New Zealand,Volkswagen,56525,6482,9.04
2025,Asia,India,Tesla,82692,13464,20.93
2020,Asia,Japan,Nissan,54206,6577,17.17
2023,Africa,South Africa,BYD,1319,306,8.76
2020,North America,Mexico,Hyundai,35883,4505,17.91
2023,South America,Chile,Rivian,79184,11726,13.23
2021,Europe,Germany,Kia,72105,11297,5.54
2023,South America,Chile,Kia,6140,1267,5.17
2016,South America,Brazil,Kia,60388,9830,18.12
2022,Oceania,Australia,Hyundai,87310,8541,18.09
2022,Asia,China,Hyundai,62744,4693,13.74
2016,Oceania,Australia,Rivian,73737,17516,13.03
2018,Africa,South Africa,Volkswagen,85401,17960,5.32
2025,Europe,France,Volkswagen,69075,3771,11.3
2021,Africa,South Africa,Volkswagen,54587,11698,21.91
2025,North America,Mexico,Nissan,32415,5449,21.51
2018,Europe,UK,Kia,44142,6788,16.86
2018,Oceania,Australia,Tesla,57111,2995,24.94
2020,Oceania,New Zealand,Nissan,47389,9770,22.44
2024,Africa,South Africa,Kia,41715,3738,4.49
2020,Oceania,Australia,Hyundai,2987,584,10.58
2024,Oceania,New Zealand,Hyundai,61545,3272,4.17
2017,South America,Brazil,Hyundai,93094,19481,12.19
2023,North America,USA,Kia,94144,5141,19.63
2024,South America,Brazil,Volkswagen,74535,7243,4.74
2025,Oceania,Australia,Hyundai,72167,7480,22.13
2016,Asia,India,BYD,59540,4852,14.66
2020,South America,Brazil,Hyundai,91020,13308,18.97
2021,Oceania,Australia,Rivian,61795,6595,2.08
2023,Oceania,New Zealand,Rivian,1325,329,3.25
2017,North America,Mexico,Kia,1691,280,15.9
2024,Africa,South Africa,Volkswagen,43594,7118,21.12
2017,Europe,Norway,Nissan,63990,6026,21.97
2021,South America,Brazil,Hyundai,80743,10636,17.52
2018,South America,Chile,Volkswagen,55299,4136,5.82
2022,South America,Brazil,Volkswagen,40053,8110,5.68
2021,Oceania,Australia,BMW,94805,11019,22.15
2019,North America,Canada,BYD,7313,1465,3.72
2021,Oceania,Australia,Rivian,26850,3338,17.47
2017,Oceania,New Zealand,Kia,88061,21817,13.8
2016,Africa,Egypt,Hyundai,29492,2483,11.11
2020,Asia,India,BMW,82953,4172,11.57
